"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","A","골목상권","3111008","석촌고분역 3번","","","","","","","","","",""
"20261","A","골목상권","3111007","석촌고분역 4번","","","","","","","","","",""
"20261","A","골목상권","3111006","석촌고분역 1번","","","","","","","","","",""
"20261","A","골목상권","3111005","삼전역 3번","","","","","","","","","",""
"20261","A","골목상권","3111004","삼전역 1번","","","","","","","","","",""
"20261","A","골목상권","3111003","삼전역 4번","","","","","","","","","",""
"20261","A","골목상권","3111002","한국교통안전공단 강남자동차검사소","","","","","","","","","",""
"20261","A","골목상권","3111001","아래방죽마을공원(율현초등학교)","","","","","","","","","",""
"20261","A","골목상권","3111000","대왕초등학교(세곡동사거리서남측)","","","","","","","","","",""
"20261","A","골목상권","3110999","윗방죽마을공원","","","","","","","","","",""
"20261","A","골목상권","3110998","은곡마을(은곡마을공원)","","","","","","","","","",""
"20261","A","골목상권","3110997","대청초등학교","","","","","","","","","",""
"20261","A","골목상권","3110996","대치2동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110995","봉은사역 4번","","","","","","","","","",""
"20261","A","골목상권","3110994","개포고등학교","","","","","","","","","",""
"20261","A","골목상권","3110993","개포지하차도 북측","","","","","","","","","",""
"20261","A","골목상권","3110992","도곡초등학교","","","","","","","","","",""
"20261","A","골목상권","3110991","삼성중앙역 5번","","","","","","","","","",""
"20261","A","골목상권","3110990","청담역 12번","","","","","","","","","",""
"20261","A","골목상권","3110989","대치동아우편취급국","","","","","","","","","",""
"20261","A","골목상권","3110988","청담역 3번","","","","","","","","","",""
"20261","A","골목상권","3110987","영동대교남단","","","","","","","","","",""
"20261","A","골목상권","3110986","삼성중앙역 7번","","","","","","","","","",""
"20261","A","골목상권","3110985","청담근린공원","","","","","","","","","",""
"20261","A","골목상권","3110984","포이초등학교(개포목련어린이공원)","","","","","","","","","",""
"20261","A","골목상권","3110983","국립국악고등학교","","","","","","","","","",""
"20261","A","골목상권","3110982","강남구보훈회관","","","","","","","","","",""
"20261","A","골목상권","3110981","국악고교사거리","","","","","","","","","",""
"20261","A","골목상권","3110980","개포지구대옆","","","","","","","","","",""
"20261","A","골목상권","3110979","청담초등학교","","","","","","","","","",""
"20261","A","골목상권","3110978","도곡2동주민센터(대치중학교)","","","","","","","","","",""
"20261","A","골목상권","3110977","논현로18길","","","","","","","","","",""
"20261","A","골목상권","3110976","언북초등학교","","","","","","","","","",""
"20261","A","골목상권","3110975","매봉역 1번","","","","","","","","","",""
"20261","A","골목상권","3110974","언주중학교","","","","","","","","","",""
"20261","A","골목상권","3110973","강남구청역 4번","","","","","","","","","",""
"20261","A","골목상권","3110972","강남세브란스병원미래의학연구센터","","","","","","","","","",""
"20261","A","골목상권","3110971","선정릉역 4번","","","","","","","","","",""
"20261","A","골목상권","3110970","학동초등학교","","","","","","","","","",""
"20261","A","골목상권","3110969","베르사이유1아파트","","","","","","","","","",""
"20261","A","골목상권","3110968","강남구청역 2번","","","","","","","","","",""
"20261","A","골목상권","3110967","역삼역 8번","","","","","","","","","",""
"20261","A","골목상권","3110966","논현2동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110965","언주역 6번","","","","","","","","","",""
"20261","A","골목상권","3110964","싸리고개근린공원","","","","","","","","","",""
"20261","A","골목상권","3110963","역삼월드메르디앙아파트","","","","","","","","","",""
"20261","A","골목상권","3110962","도산공원북측","","","","","","","","","",""
"20261","A","골목상권","3110961","언주역 3번","","","","","","","","","",""
"20261","A","골목상권","3110960","은광여고","","","","","","","","","",""
"20261","A","골목상권","3110959","신구중학교","","","","","","","","","",""
"20261","A","골목상권","3110958","역삼역 4번","","","","","","","","","",""
"20261","A","골목상권","3110957","언북중학교","","","","","","","","","",""
"20261","A","골목상권","3110956","언주역 8번","","","","","","","","","",""
"20261","A","골목상권","3110955","논현초등학교","","","","","","","","","",""
"20261","A","골목상권","3110954","국기원","","","","","","","","","",""
"20261","A","골목상권","3110953","학동근린공원","","","","","","","","","",""
"20261","A","골목상권","3110952","논현목련공원","","","","","","","","","",""
"20261","A","골목상권","3110951","신사은행나무공원","","","","","","","","","",""
"20261","A","골목상권","3110950","논현역 7번","","","","","","","","","",""
"20261","A","골목상권","3110949","한남IC","","","","","","","","","",""
"20261","A","골목상권","3110948","헌인가구단지","","","","","","","","","",""
"20261","A","골목상권","3110947","청계산입구역 2번(내곡동주민센터)","","","","","","","","","",""
"20261","A","골목상권","3110946","청계산원터골","","","","","","","","","",""
"20261","A","골목상권","3110945","본마을노인복지센터(서초구립내곡도서관)","","","","","","","","","",""
"20261","A","골목상권","3110944","서울나래학교(염곡어린이공원)","","","","","","","","","",""
"20261","A","골목상권","3110943","법제교육센터(버들어린이공원)","","","","","","","","","",""
"20261","A","골목상권","3110942","염곡동 구룡사(포이동성당)","","","","","","","","","",""
"20261","A","골목상권","3110941","언남고등학교","","","","","","","","","",""
"20261","A","골목상권","3110940","양재근린공원(양재2동주민센터)","","","","","","","","","",""
"20261","A","골목상권","3110939","양재역 8번(양재동우체국)","","","","","","","","","",""
"20261","A","골목상권","3110938","바우뫼공원","","","","","","","","","",""
"20261","A","골목상권","3110937","방아다리근린공원(횃불트리니티신학대학원대학교)","","","","","","","","","",""
"20261","A","골목상권","3110936","더케이호텔(양재리본타워2단지아파트)","","","","","","","","","",""
"20261","A","골목상권","3110935","한전아트센터","","","","","","","","","",""
"20261","A","골목상권","3110934","우면주공아파트","","","","","","","","","",""
"20261","A","골목상권","3110933","한국상담대학원대학교","","","","","","","","","",""
