"기준_년분기_코드","자치구_코드","자치구_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20253","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20253","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20253","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20253","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
"20253","11545","금천구","2628","20706","5488","523","57","9","3016","18421","2918","1111","794","310","213","53","167945971"
"20253","11530","구로구","4656","33641","10302","1347","344","134","7567","23053","4975","3265","3381","2090","1437","56","196628251"
"20253","11500","강서구","8285","61249","15199","2205","782","148","11656","48044","5757","3109","2993","2820","5204","54","198685944"
"20253","11470","양천구","5830","38997","12962","2458","835","84","10586","25615","6334","2502","1703","1035","7561","56","258455197"
"20253","11440","마포구","4902","30680","10018","2195","426","124","4063","14950","11164","3964","1507","1280","6515","54","289648150"
"20253","11410","서대문구","4253","24617","10055","1781","468","321","6546","15520","5878","1938","2141","2026","3193","60","236239737"
"20253","11380","은평구","9039","57596","18465","2122","793","385","12386","43936","12797","2672","2501","2684","2385","56","187229617"
"20253","11350","노원구","3111","21053","8911","1800","539","2","3984","9924","4764","5149","4499","2285","1700","60","264515736"
"20253","11320","도봉구","3520","27339","7394","880","469","86","9837","17399","2719","2683","1837","1271","422","56","169896516"
"20253","11305","강북구","5209","37829","6874","1084","148","31","12272","26441","3459","1068","1341","701","684","53","151355915"
"20253","11290","성북구","4334","27471","10785","2511","519","244","4976","18945","6380","1607","3042","3654","2926","61","240570167"
"20253","11260","중랑구","4059","31132","7824","1136","144","3","4381","23030","7205","1895","2292","1128","308","52","188352147"
"20253","11230","동대문구","2408","16238","6582","1750","149","39","2317","7637","6833","1427","1657","2136","2751","59","276363203"
"20253","11215","광진구","4692","30479","9238","965","507","396","3200","18381","13217","2087","711","544","3445","53","240830723"
"20253","11200","성동구","1928","10647","5542","1652","274","90","1412","3591","2200","1309","836","1392","7465","62","459388770"
"20253","11170","용산구","3042","13605","5508","1864","1210","1762","314","3826","5790","3175","1749","1159","7936","71","578405236"
"20253","11140","중구","1081","6261","2179","740","157","160","1143","3552","1975","710","226","257","1634","62","292261797"
"20253","11110","종로구","2336","10999","4185","985","775","880","2886","6242","3815","1516","722","761","1882","71","271719514"
"20252","11740","강동구","5118","34148","12072","1815","549","300","2892","18965","12721","3276","2113","1586","7331","55","289229904"
"20252","11710","송파구","9184","59265","17455","4432","2102","569","3090","27522","25220","9417","3078","1821","13675","56","357392146"
"20252","11680","강남구","5205","27994","11706","5060","3076","3004","220","9287","10148","5714","3105","2030","20336","73","740734978"
"20252","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20252","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20252","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20252","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
"20252","11545","금천구","2628","20706","5488","523","57","9","3016","18421","2918","1111","794","310","213","53","167945971"
"20252","11530","구로구","4656","33641","10302","1347","344","134","7567","23053","4975","3265","3381","2090","1437","56","196628251"
"20252","11500","강서구","8285","61249","15199","2205","782","148","11656","48044","5757","3109","2993","2820","5204","54","198685944"
"20252","11470","양천구","5830","38997","12962","2458","835","84","10586","25615","6334","2502","1703","1035","7561","56","258455197"
"20252","11440","마포구","4902","30680","10018","2195","426","124","4063","14950","11164","3964","1507","1280","6515","54","289648150"
"20252","11410","서대문구","4253","24617","10055","1781","468","321","6546","15520","5878","1938","2141","2026","3193","60","236239737"
"20252","11380","은평구","9039","57596","18465","2122","793","385","12386","43936","12797","2672","2501","2684","2385","56","187229617"
"20252","11350","노원구","3111","21053","8911","1800","539","2","3984","9924","4764","5149","4499","2285","1700","60","264515736"
"20252","11320","도봉구","3520","27339","7394","880","469","86","9837","17399","2719","2683","1837","1271","422","56","169896516"
"20252","11305","강북구","5209","37829","6874","1084","148","31","12272","26441","3459","1068","1341","701","684","53","151355915"
"20252","11290","성북구","4334","27471","10785","2511","519","244","4976","18945","6380","1607","3042","3654","2926","61","240570167"
"20252","11260","중랑구","4059","31132","7824","1136","144","3","4381","23030","7205","1895","2292","1128","308","52","188352147"
"20252","11230","동대문구","2408","16238","6582","1750","149","39","2317","7637","6833","1427","1657","2136","2751","59","276363203"
"20252","11215","광진구","4692","30479","9238","965","507","396","3200","18381","13217","2087","711","544","3445","53","240830723"
"20252","11200","성동구","1928","10647","5542","1652","274","90","1412","3591","2200","1309","836","1392","7465","62","459388770"
"20252","11170","용산구","3042","13605","5508","1864","1210","1762","314","3826","5790","3175","1749","1159","7936","71","578405236"
"20252","11140","중구","1081","6261","2179","740","157","160","1143","3552","1975","710","226","257","1634","62","292261797"
"20252","11110","종로구","2336","10999","4185","985","775","880","2886","6242","3815","1516","722","761","1882","71","271719514"
"20251","11740","강동구","5118","34148","12072","1815","549","300","2892","18965","12721","3276","2113","1586","7331","55","289229904"
"20251","11710","송파구","9184","59265","17455","4432","2102","569","3090","27522","25220","9417","3078","1821","13675","56","357392146"
"20251","11680","강남구","5205","27994","11706","5060","3076","3004","220","9287","10148","5714","3105","2030","20336","73","740734978"
"20251","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20251","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20251","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20251","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
"20251","11545","금천구","2628","20706","5488","523","57","9","3016","18421","2918","1111","794","310","213","53","167945971"
"20251","11530","구로구","4656","33641","10302","1347","344","134","7567","23053","4975","3265","3381","2090","1437","56","196628251"
"20251","11500","강서구","8285","61249","15199","2205","782","148","11656","48044","5757","3109","2993","2820","5204","54","198685944"
"20251","11470","양천구","5830","38997","12962","2458","835","84","10586","25615","6334","2502","1703","1035","7561","56","258455197"
"20251","11440","마포구","4902","30680","10018","2195","426","124","4063","14950","11164","3964","1507","1280","6515","54","289648150"
"20251","11410","서대문구","4253","24617","10055","1781","468","321","6546","15520","5878","1938","2141","2026","3193","60","236239737"
"20251","11380","은평구","9039","57596","18465","2122","793","385","12386","43936","12797","2672","2501","2684","2385","56","187229617"
"20251","11350","노원구","3111","21053","8911","1800","539","2","3984","9924","4764","5149","4499","2285","1700","60","264515736"
"20251","11320","도봉구","3520","27339","7394","880","469","86","9837","17399","2719","2683","1837","1271","422","56","169896516"
"20251","11305","강북구","5209","37829","6874","1084","148","31","12272","26441","3459","1068","1341","701","684","53","151355915"
"20251","11290","성북구","4334","27471","10785","2511","519","244","4976","18945","6380","1607","3042","3654","2926","61","240570167"
"20251","11260","중랑구","4059","31132","7824","1136","144","3","4381","23030","7205","1895","2292","1128","308","52","188352147"
"20251","11230","동대문구","2408","16238","6582","1750","149","39","2317","7637","6833","1427","1657","2136","2751","59","276363203"
"20251","11215","광진구","4692","30479","9238","965","507","396","3200","18381","13217","2087","711","544","3445","53","240830723"
"20251","11200","성동구","1928","10647","5542","1652","274","90","1412","3591","2200","1309","836","1392","7465","62","459388770"
"20251","11170","용산구","3042","13605","5508","1864","1210","1762","314","3826","5790","3175","1749","1159","7936","71","578405236"
"20251","11140","중구","1081","6261","2179","740","157","160","1143","3552","1975","710","226","257","1634","62","292261797"
"20251","11110","종로구","2336","10999","4185","985","775","880","2886","6242","3815","1516","722","761","1882","71","271719514"
"20244","11740","강동구","5118","34148","12072","1815","549","300","2892","18965","12721","3276","2113","1586","7331","55","289229904"
"20244","11710","송파구","9184","59265","17455","4432","2102","569","3090","27522","25220","9417","3078","1821","13675","56","357392146"
"20244","11680","강남구","5205","27994","11706","5060","3076","3004","220","9287","10148","5714","3105","2030","20336","73","740734978"
"20244","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20244","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20244","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20244","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
"20244","11545","금천구","2628","20706","5488","523","57","9","3016","18421","2918","1111","794","310","213","53","167945971"
"20244","11530","구로구","4656","33641","10302","1347","344","134","7567","23053","4975","3265","3381","2090","1437","56","196628251"
"20244","11500","강서구","8285","61249","15199","2205","782","148","11656","48044","5757","3109","2993","2820","5204","54","198685944"
"20244","11470","양천구","5830","38997","12962","2458","835","84","10586","25615","6334","2502","1703","1035","7561","56","258455197"
"20244","11440","마포구","4902","30680","10018","2195","426","124","4063","14950","11164","3964","1507","1280","6515","54","289648150"
"20244","11410","서대문구","4253","24617","10055","1781","468","321","6546","15520","5878","1938","2141","2026","3193","60","236239737"
"20244","11380","은평구","9039","57596","18465","2122","793","385","12386","43936","12797","2672","2501","2684","2385","56","187229617"
"20244","11350","노원구","3111","21053","8911","1800","539","2","3984","9924","4764","5149","4499","2285","1700","60","264515736"
"20244","11320","도봉구","3520","27339","7394","880","469","86","9837","17399","2719","2683","1837","1271","422","56","169896516"
"20244","11305","강북구","5209","37829","6874","1084","148","31","12272","26441","3459","1068","1341","701","684","53","151355915"
"20244","11290","성북구","4334","27471","10785","2511","519","244","4976","18945","6380","1607","3042","3654","2926","61","240570167"
"20244","11260","중랑구","4059","31132","7824","1136","144","3","4381","23030","7205","1895","2292","1128","308","52","188352147"
"20244","11230","동대문구","2408","16238","6582","1750","149","39","2317","7637","6833","1427","1657","2136","2751","59","276363203"
"20244","11215","광진구","4692","30479","9238","965","507","396","3200","18381","13217","2087","711","544","3445","53","240830723"
"20244","11200","성동구","1928","10647","5542","1652","274","90","1412","3591","2200","1309","836","1392","7465","62","459388770"
"20244","11170","용산구","3042","13605","5508","1864","1210","1762","314","3826","5790","3175","1749","1159","7936","71","578405236"
"20244","11140","중구","1081","6261","2179","740","157","160","1143","3552","1975","710","226","257","1634","62","292261797"
"20244","11110","종로구","2336","10999","4185","985","775","880","2886","6242","3815","1516","722","761","1882","71","271719514"
"20243","11740","강동구","5118","34148","12072","1815","549","300","2892","18965","12721","3276","2113","1586","7331","55","289229904"
"20243","11710","송파구","9184","59265","17455","4432","2102","569","3090","27522","25220","9417","3078","1821","13675","56","357392146"
"20243","11680","강남구","5205","27994","11706","5060","3076","3004","220","9287","10148","5714","3105","2030","20336","73","740734978"
"20243","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20243","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20243","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20243","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
"20243","11545","금천구","2628","20706","5488","523","57","9","3016","18421","2918","1111","794","310","213","53","167945971"
"20243","11530","구로구","4656","33641","10302","1347","344","134","7567","23053","4975","3265","3381","2090","1437","56","196628251"
"20243","11500","강서구","8285","61249","15199","2205","782","148","11656","48044","5757","3109","2993","2820","5204","54","198685944"
"20243","11470","양천구","5830","38997","12962","2458","835","84","10586","25615","6334","2502","1703","1035","7561","56","258455197"
"20243","11440","마포구","4902","30680","10018","2195","426","124","4063","14950","11164","3964","1507","1280","6515","54","289648150"
"20243","11410","서대문구","4253","24617","10055","1781","468","321","6546","15520","5878","1938","2141","2026","3193","60","236239737"
"20243","11380","은평구","9039","57596","18465","2122","793","385","12386","43936","12797","2672","2501","2684","2385","56","187229617"
"20243","11350","노원구","3111","21053","8911","1800","539","2","3984","9924","4764","5149","4499","2285","1700","60","264515736"
"20243","11320","도봉구","3520","27339","7394","880","469","86","9837","17399","2719","2683","1837","1271","422","56","169896516"
"20243","11305","강북구","5209","37829","6874","1084","148","31","12272","26441","3459","1068","1341","701","684","53","151355915"
"20243","11290","성북구","4334","27471","10785","2511","519","244","4976","18945","6380","1607","3042","3654","2926","61","240570167"
"20243","11260","중랑구","4059","31132","7824","1136","144","3","4381","23030","7205","1895","2292","1128","308","52","188352147"
"20243","11230","동대문구","2408","16238","6582","1750","149","39","2317","7637","6833","1427","1657","2136","2751","59","276363203"
"20243","11215","광진구","4692","30479","9238","965","507","396","3200","18381","13217","2087","711","544","3445","53","240830723"
"20243","11200","성동구","1928","10647","5542","1652","274","90","1412","3591","2200","1309","836","1392","7465","62","459388770"
"20243","11170","용산구","3042","13605","5508","1864","1210","1762","314","3826","5790","3175","1749","1159","7936","71","578405236"
"20243","11140","중구","1081","6261","2179","740","157","160","1143","3552","1975","710","226","257","1634","62","292261797"
"20243","11110","종로구","2336","10999","4185","985","775","880","2886","6242","3815","1516","722","761","1882","71","271719514"
"20242","11740","강동구","5118","34148","12072","1815","549","300","2892","18965","12721","3276","2113","1586","7331","55","289229904"
"20242","11710","송파구","9184","59265","17455","4432","2102","569","3090","27522","25220","9417","3078","1821","13675","56","357392146"
"20242","11680","강남구","5205","27994","11706","5060","3076","3004","220","9287","10148","5714","3105","2030","20336","73","740734978"
"20242","11650","서초구","4796","21255","11456","4952","3334","3833","189","5738","7730","6283","3807","2545","18538","81","699516368"
"20242","11620","관악구","5562","36363","11051","1724","235","32","7868","24918","9110","2573","2170","1714","1052","55","189415238"
"20242","11590","동작구","4592","25418","12472","2055","510","103","2337","14804","11633","2391","1417","1813","6163","60","296605721"
"20242","11560","영등포구","2283","13924","5917","1334","775","170","2086","7374","3510","721","1289","1955","5185","60","358498150"
"20242","11545","금천구","2628","20706","5488","523","57","9","3016","18421","2918","1111","794","310","213","53","167945971"
"20242","11530","구로구","4656","33641","10302","1347","344","134","7567","23053","4975","3265","3381","2090","1437","56","196628251"
"20242","11500","강서구","8285","61249","15199","2205","782","148","11656","48044","5757","3109","2993","2820","5204","54","198685944"
"20242","11470","양천구","5830","38997","12962","2458","835","84","10586","25615","6334","2502","1703","1035","7561","56","258455197"
"20242","11440","마포구","4902","30680","10018","2195","426","124","4063","14950","11164","3964","1507","1280","6515","54","289648150"
"20242","11410","서대문구","4253","24617","10055","1781","468","321","6546","15520","5878","1938","2141","2026","3193","60","236239737"
"20242","11380","은평구","9039","57596","18465","2122","793","385","12386","43936","12797","2672","2501","2684","2385","56","187229617"
