"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20252","11","서울시","CS300026","완구","30619189960","1704027","19129041615","11490148345","4757287096","3163496948","2841500547","3860214188","4506542836","7144711306","4345437039","13494452","1278866033","7185955805","11292974826","10105775589","742123255","17932629600","11397527706","382011070","5461963207","8748535508","7775631560","2828951535","4133064427","934756","769271","175748","166847","152264","166838","273059","434052","335219","277","52257","322785","582066","730130","16512","677237","1024439","43299","588986","588220","316318","89314","75542"
"20252","11","서울시","CS300025","자전거 및 기타운송장비","35437913883","277570","22348358595","13089555288","4033952591","5671286332","3442311141","4428898334","4771910197","6445767000","6643788288","6948652","1469317738","12103803854","11760557074","9972547946","124738619","25612770677","7769141210","125701239","1375420087","5329802543","10488987485","8110535911","7951464621","176475","101095","32548","40474","33624","34551","35278","51214","49881","82","23085","74223","103014","76690","476","202843","66280","2975","11016","35501","80817","65173","73627"
"20252","11","서울시","CS300024","운동/경기용품","213010467549","1713181","146153097272","66857370277","29427566335","26603602756","32686104773","28650692889","28785130519","36297931271","30559439006","668465600","12959550104","56772580274","78734770314","60083071454","3792029803","118739165368","71469942594","1076695320","15809143378","33958740677","55941663884","43865506388","39556216776","1070537","642644","182337","212726","208121","223094","244259","339000","303644","21834","119705","416137","556000","523373","76132","1025408","628014","25118","224739","305327","414927","351525","331751"
"20252","11","서울시","CS300022","화장품","330596112312","3690968","269326052131","61270060181","50327736104","53365969420","55643499391","52425151617","57563695599","38717789225","22552270956","2532356170","30235910756","91388463007","108332801917","83229408739","14877171723","105127096829","209694502331","919939487","32924041227","66790419188","73415529436","74385242710","66387221807","2622992","1067976","494861","505415","515862","536918","569936","604991","462985","50964","351856","948523","1143478","1023120","173027","1163555","2452261","36794","606824","724378","589250","659334","999276"
"20252","11","서울시","CS300021","문구","260841925309","9182128","233587405287","27254520022","44243808781","46071674149","53471549431","44528964659","45271408267","16640444014","10614076008","153238308","48578470742","72303280082","98715582874","39794095528","1297257775","79044228812","55635734740","1542266672","10275717994","19388861744","24288947827","37819025596","41365143728","7409171","1772957","1497072","1448373","1567361","1479276","1417089","1061630","711327","14614","1161488","2671324","3180868","2010252","143582","3492708","4024940","255189","1238947","1448716","2005680","1378941","1190183"
"20252","11","서울시","CS300020","서적","82147410792","1553248","68960928739","13186482053","15789860135","13313182665","14247529479","10648485281","14961871179","7197958051","5988524002","29264417","7425750671","22203185936","36852418089","14118950060","1517841619","31957015079","37585389634","655628446","6530480599","11523388848","20818549870","13289426566","16724930378","1020548","532700","190976","195784","217682","202989","213117","245565","287135","484","148171","401564","533229","425207","44593","611023","893916","38060","215494","277934","454704","323100","195622"
"20252","11","서울시","CS300019","의료기기","241884039050","528384","227750894701","14133144349","51735570999","37608293396","48279733293","39435790481","50691506532","8699181135","5433963214","41637","44873434803","88779447054","87216176027","20994887363","20052166","171759882209","54764166300","2045249","2384205393","20623078581","54792803732","75789384770","72932530792","455621","72763","96606","83270","95984","91037","88724","51582","21181","8","96300","189269","191716","51032","59","299762","217724","175","11628","40568","82978","113737","268398"
"20252","11","서울시","CS300018","의약품","1751594075732","75234271","1560836239499","190757836233","346296873420","313641528791","306101982969","281179925958","313615928361","162081140276","28676695956","598406197","434032203983","520147783494","517833597447","269911348384","9070736225","891529440524","768114408479","2193515160","71622879528","219262632573","327942147011","378110477873","660512197347","63657179","11577093","14651526","11938069","12413525","12123789","12530269","9468473","2108620","42579","16227593","20431589","21605199","16215752","711558","35153740","39938504","295090","6262738","13192966","14600469","15901797","24839217"
"20252","11","서울시","CS300017","시계및귀금속","262213980527","571860","201391076866","60822903661","44547439417","42064854627","42013687400","35805207104","36959888318","39477390901","21345512760","381191260","13924303405","76052927360","110756313128","60143410323","955835051","130182365491","111077591137","111236557","16321819083","45184126655","51573148383","61222352605","66850769928","454371","117489","94702","84936","95835","92360","86538","73385","44104","381","36205","179104","222899","129369","3902","226465","283218","2109","61552","118015","102136","100398","125556"
"20252","11","서울시","CS300016","안경","131179093275","1325339","92297397370","38881695905","18357287805","18823394262","18262980740","18083987707","18769746857","23027729149","15853966757","788690","6525060510","33454198890","43019426009","46177948749","2001670426","58535352273","71175352613","810930985","16656559752","24546009975","28464151971","32256001331","26976894171","962726","362613","190088","191776","194727","189654","196480","209798","152815","282","66596","312778","397694","515663","32326","472983","846644","26530","328054","282880","238637","252487","191054"
"20252","11","서울시","CS300015","가방","54418159715","1444975","38002144881","16416014834","7328245271","7407577380","7880282177","7481763715","7904276338","8059353364","8356661470","3051486","2126330965","14866378707","17792974117","17939921473","1689502967","19440361126","33488259614","279846012","5782991114","13115523639","11262315957","10918318268","11569625751","929886","515089","179742","179111","166182","191964","212887","276009","239080","421","61437","342294","466436","510001","64386","495421","937018","15244","243520","339269","273386","255063","305960"
"20252","11","서울시","CS300014","신발","107689170176","1192144","75766816032","31922354144","13479325358","15963445642","14645383569","16745116678","14933544785","16728572718","15193781426","628839041","6170627224","41515014070","33934489114","24125968984","1314231743","51500365986","49595459339","310419074","8747430679","18064243506","16862528150","25967654966","31143548954","798134","394010","153324","165281","155393","162197","161939","210492","183518","2694","72735","353025","424745","315841","23104","482223","673986","9337","131391","184269","170330","230205","430673"
"20252","11","서울시","CS300011","일반의류","1790262029602","26723276","1143065908475","647196121127","201915315810","232210791340","222746624073","236490041359","249703135895","339356273253","307839847874","6082061565","45192496505","461175397832","676395788188","556925586541","44490698970","649962503772","1092713883967","6450070899","169855866438","341111959531","349824306952","404687581531","470749566317","16834134","9889141","3054010","3384659","3297393","3421182","3676890","5114390","4774751","60571","717432","6943639","9512706","8674355","814571","8905221","17699634","202109","3699877","5379765","5373032","5531426","6418690"
"20252","11","서울시","CS300010","반찬가게","835697946289","33710809","699438624944","136259321344","149204402648","123550352472","143224544401","142910914731","140548410692","98107653874","38151667471","130090206663","202303065484","200683860774","167319605349","91251636445","44049571573","365333788373","347444580330","1096936469","30736881086","88246211549","175358028644","164187165543","253153145408","27473851","6236957","5438273","5295704","5662870","5631737","5445268","3778561","2458394","1533045","7241405","10705396","6935270","5929371","1366322","15848505","15535297","259294","3893185","7062977","6288127","6451700","7428498"
"20252","11","서울시","CS300009","청과상","1088391235434","44244362","804604898678","283786336755","149030590718","165245564124","168919881264","157810967620","163597894952","175604832911","108181503844","42219930991","287465823594","283370596806","313390527790","152947117522","8997238729","450030151632","571482523623","216126715","20679155353","86723039156","143052171401","220167697938","550674484682","30758774","13485587","5834063","6187071","6001727","6277867","6458045","7730177","5755410","301499","7536007","12757998","14632019","8656652","360187","18542982","24806822","21333","1002480","3315699","6034301","10048309","22927715"
"20252","11","서울시","CS300008","수산물판매","971584288161","14925087","612680742192","358903545969","109248422884","123360710285","105839588921","116927696264","157304323838","219051568945","139851977024","40945864267","176004768421","201533446797","228009780488","298850141516","26240286672","485133551805","351379941258","208745443","39576814309","136769332867","149442136200","175796692066","334719772190","9376602","5548485","1733479","1812441","1733883","1844239","2252560","3362626","2185859","334593","2316911","3644618","4297809","4043008","288148","7259613","6813139","5799","581156","1843798","2253434","2978182","6410395"
"20252","11","서울시","CS300007","육류판매","711699209153","15224433","542351461425","169347747730","99452990281","93378124900","110470932198","109625719847","129423694198","110141166545","59206581185","9477960001","158363322701","184974699473","192345643240","153684950762","12852632978","303397724923","375499085178","249841528","14145782957","64875668548","114212979218","166321529036","319092095521","10733849","4490585","2044414","2041512","2057365","2164212","2426346","2641495","1849091","105176","2084254","3387473","4513458","4930564","203507","6380977","8569822","13784","482550","1571986","2393042","3728915","6760655"
"20252","11","서울시","CS300006","미곡판매","120146259443","2710811","98230190490","21916068953","19516636729","22300047475","23259900332","16621317045","16532288909","18149494800","3766574153","11538728913","40824057438","29388005627","27381860352","9877479030","1136128083","41880312182","68671074408","19745729","811573482","6882007488","13373280428","17488622876","71976156592","2129038","581773","436446","430084","429054","424116","409338","423729","158044","89823","637492","763185","804390","393900","22021","1094863","1516925","1692","40963","136961","278164","528344","1625648"
"20252","11","서울시","CS300004","핸드폰","98172449676","2600430","78978116765","19194332911","23939129821","11055730126","13884533768","15621557841","14477165209","13149559072","6044773839","1205845083","5511427428","19997060661","29108861395","35583215678","6766039431","57024893351","34440103307","246992435","7788691142","10758482786","28903857455","16135616711","27631356133","2006311","594119","399827","368387","434857","417636","385604","342154","251965","27665","232425","595925","788901","776712","178802","1314959","1219017","74496","321190","449665","582679","561077","544857"
