"기준_년분기_코드","행정동_코드","행정동_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20244","11710","송파구","370776391000","38914502000","7780536000","4255751000","41404218000","8628413000","10524454000","4758652000","196223429000","8049725000","50236711000"
"20244","11680","강남구","2786953199000","41221267000","31826928000","4883340000","135860142000","27645005000","36996520000","9759218000","1486540549000","926111068000","86109162000"
"20244","11650","서초구","636011154000","22545018000","5146525000","13244810000","68277438000","6120497000","12334867000","4711749000","261611792000","190361817000","51656641000"
"20244","11620","관악구","118781585000","30139995000","2838874000","1622939000","19317938000","2800073000","14573448000","4744650000","6724224000","4724373000","31295071000"
"20244","11590","동작구","179893414000","27349779000","1229931000","1544737000","17671773000","91827354000","4041366000","2422232000","4206227000","3815340000","25784675000"
"20244","11560","영등포구","1156414569000","27394748000","4446286000","2880163000","26604056000","78841223000","3772355000","4289171000","933966237000","25409876000","48810454000"
"20244","11545","금천구","76883732000","15670173000","14905653000","1316137000","9974690000","3665345000","1423046000","1704617000","12547812000","2047780000","13628479000"
"20244","11530","구로구","1851637044000","25611104000","1604098000","2146198000","25131690000","5141076000","3672437000","2663413000","1758288428000","4267401000","23111199000"
"20244","11500","강서구","230072690000","33296542000","6290626000","2467487000","33639290000","39448863000","6895292000","4542095000","48889718000","17191267000","37411510000"
"20244","11470","양천구","108068231000","25248127000","1379754000","1130481000","22583514000","5887432000","13478868000","1884217000","11455856000","3847908000","21172074000"
"20244","11440","마포구","636314248000","31864794000","6921294000","2354849000","20544480000","3508850000","9313804000","7868690000","486852059000","8733717000","58351711000"
"20244","11410","서대문구","135847173000","17243792000","1331737000","924483000","79893815000","3131996000","3770634000","1748751000","4218717000","3159665000","20423583000"
"20244","11380","은평구","91375321000","22331681000","4413002000","1421814000","20606892000","4593881000","4986233000","2846705000","4425420000","3703676000","22046017000"
"20244","11350","노원구","126976646000","39167538000","1590706000","1474032000","21614585000","4508550000","8739345000","2860650000","12881242000","5151609000","28988389000"
"20244","11320","도봉구","51850173000","15788332000","1146636000","1009616000","7400239000","4806665000","2368377000","1351829000","2963173000","1918069000","13097237000"
"20244","11305","강북구","61335248000","14753913000","1647397000","1048258000","12160039000","3427434000","1557569000","2687130000","3804468000","3017356000","17231684000"
"20244","11290","성북구","84947365000","22744281000","1692833000","1186218000","12209575000","5831985000","4338977000","2271658000","7528447000","3281781000","23861610000"
"20244","11260","중랑구","69209559000","20884170000","1455174000","1318736000","11615589000","5085308000","2339609000","2635289000","3647713000","2580874000","17647097000"
"20244","11230","동대문구","93038276000","26431705000","2680681000","1488326000","22580123000","5148428000","3195605000","2062309000","4434866000","2426380000","22589853000"
"20244","11215","광진구","99285146000","21908350000","3091772000","1880777000","15529287000","6136071000","3234983000","3903979000","6128764000","5132880000","32338283000"
"20244","11200","성동구","102453510000","20750001000","4917669000","1031493000","13998731000","6069685000","3020242000","2404369000","8765454000","13824036000","27671830000"
"20244","11170","용산구","257459474000","144010110000","3454653000","6013933000","5962859000","2908816000","1433983000","3313653000","25525078000","28288678000","36547711000"
"20244","11140","중구","2855207987000","40031625000","9623266000","6146940000","14501677000","456712804000","24924512000","2856245000","2183745140000","75798806000","40866972000"
"20244","11110","종로구","223563557000","16470081000","5080642000","1235927000","23699442000","6753219000","2955300000","4627259000","17010336000","95450068000","50281283000"
"20243","11740","강동구","162161972000","24481332000","1804370000","1634080000","22502888000","3808858000","7163277000","2666292000","68759477000","4033935000","25307463000"
"20243","11710","송파구","392761576000","41648597000","6348733000","4087847000","40743388000","10025682000","11290330000","5119149000","217586056000","7877722000","48034072000"
"20243","11680","강남구","2776245420000","44405769000","29861224000","5250218000","135031972000","29648079000","42300735000","9674135000","1464157954000","932670997000","83244337000"
"20243","11650","서초구","612837694000","23874792000","4650173000","15817733000","66888467000","6446988000","14100124000","4620718000","241889109000","187106615000","47442975000"
"20243","11620","관악구","120112448000","31327142000","2348928000","1720545000","18541380000","3173306000","14952836000","4978263000","7606113000","4892705000","30571230000"
"20243","11590","동작구","188519965000","26193244000","886086000","1614128000","16979939000","103725154000","4538797000","2327909000","4511909000","4288123000","23454676000"
"20243","11560","영등포구","273321244000","29665149000","3500344000","2888670000","26290222000","83674574000","4047952000","4293929000","47179540000","24323852000","47457012000"
"20243","11545","금천구","73257475000","17027252000","10335262000","1248859000","9386128000","4130424000","1420743000","1823203000","12093472000","2247503000","13544629000"
"20243","11530","구로구","1798800084000","26886428000","1475282000","2122154000","23605325000","5396697000","3990161000","2875807000","1706055721000","3815317000","22577192000"
"20243","11500","강서구","242572807000","36268126000","6144251000","2286225000","33326191000","36171920000","7206439000","4679091000","62361142000","17150227000","36979195000"
"20243","11470","양천구","113256134000","27580129000","1003456000","1143568000","22267104000","6757740000","15738953000","2018142000","11413125000","3969496000","21364421000"
"20243","11440","마포구","1415746434000","33733594000","6904348000","3519946000","20132600000","3977699000","9833226000","8100460000","1266084095000","8789839000","54670627000"
"20243","11410","서대문구","134805739000","17922640000","1151666000","869866000","78530882000","3090673000","4136604000","1749431000","4593807000","3229917000","19530253000"
"20243","11380","은평구","93807743000","24119565000","3920217000","1651616000","20256227000","4962119000","5387213000","2937919000","4832750000","3621454000","22118663000"
"20243","11350","노원구","128009418000","39877092000","1344291000","1490619000","20747050000","4990347000","10087781000","3162211000","12888402000","5232496000","28189129000"
"20243","11320","도봉구","53043913000","16826843000","754277000","1050351000","7177326000","5207528000","2581776000","1414237000","2975245000","1909701000","13146629000"
"20243","11305","강북구","63017315000","16026117000","1421224000","1144157000","11768222000","3883246000","1544203000","2837855000","3776600000","2972515000","17643176000"
"20243","11290","성북구","85371332000","23666639000","1487964000","1162800000","11885298000","6464572000","5030512000","2397376000","7607336000","3241412000","22427423000"
"20243","11260","중랑구","70287161000","22097263000","980987000","1197012000","11199381000","5387527000","2563326000","2877677000","3734965000","2633388000","17615635000"
"20243","11230","동대문구","92740711000","27327760000","2006217000","1743551000","21955546000","5701852000","3255285000","2103363000","4768841000","2387558000","21490738000"
