"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20231","R","전통시장","3130113","신아타운","61987","28165","33822","12223","7167","8378","8577","9731","15910","15253","12034","7277","7780","11445","8196","8893","8839","8904","8896","8969","8774","8710"
"20231","R","전통시장","3130112","사가정시장","957234","448931","508304","107449","148309","146370","144428","162472","248207","194406","186957","117385","127633","199112","131743","135767","134225","134530","134149","136720","143192","138650"
"20231","R","전통시장","3130111","동원전통종합시장(동원시장, 동원전통시장 상점가)","1011109","464067","547042","99390","140711","164567","134755","185845","285840","235110","195997","122865","132434","192656","132049","141783","141968","140299","142324","143487","151503","149747"
"20231","R","전통시장","3130110","면목골목시장(면목시장)","558139","261337","296802","69471","66878","75614","84827","99492","161858","139836","112868","66372","69116","98949","70996","79345","77945","78849","77837","78722","82045","83395"
"20231","R","전통시장","3130109","묵1동도깨비시장","125130","59826","65304","16299","20473","19664","20250","20482","27964","23470","24460","16894","18055","26944","15307","16706","16602","16794","16569","16796","20324","21340"
"20231","R","전통시장","3130108","태능엔터피아(태릉시장)","51019","25599","25419","9109","4994","7147","6663","7710","15395","14253","10330","5847","5863","8145","6579","7331","7335","7233","7357","7271","7270","7223"
"20231","R","전통시장","3130107","중랑동부시장(중랑교종합상가)","41149","19836","21314","3784","7451","7138","6327","7118","9332","9702","7536","4636","5259","8041","5975","5835","5826","5847","5806","5843","6087","5903"
"20231","R","전통시장","3130106","중랑동부시장","1026665","493559","533106","134556","153775","156154","151433","176112","254637","245706","193597","118569","130016","195196","143580","145656","145346","146495","144992","145471","149342","149362"
"20231","R","전통시장","3130105","장미제일시장(중화동제일시장)","294263","135068","159195","39006","31724","49220","41562","54500","78250","71668","54239","33785","35689","56645","42237","41197","40798","40578","41021","41092","44315","45263"
"20231","R","전통시장","3130104","전곡시장","75558","38231","37328","11868","7666","10821","13077","13328","18796","21895","15677","8233","7982","11819","9951","10646","10597","10506","10535","10594","11156","11524"
"20231","R","전통시장","3130103","이경시장","127121","56355","70766","18354","20202","16410","19485","21140","31531","35365","25526","13393","13638","21613","17587","17655","17647","17439","17413","17674","19303","19989"
"20231","R","전통시장","3130102","이문제일시장","71891","32179","39713","13144","10943","7897","11590","9609","18711","21659","14142","7107","7232","11157","10594","10064","10060","10138","10032","10019","10685","10891"
"20231","R","전통시장","3130101","답십리현대시장","591589","273617","317970","83842","75754","96757","99879","87442","147914","131855","116333","74318","79639","114859","74583","81632","82005","82761","82957","83448","88800","89985"
"20231","R","전통시장","3130100","답십리시장","291784","133117","158667","50267","29551","42342","47067","45615","76942","61014","57892","39767","41986","56643","34482","41181","41440","41627","41762","41712","42722","41340"
"20231","R","전통시장","3130099","전농로터리시장","331698","150821","180877","42381","67455","61614","53059","45525","61667","56675","61442","51572","54966","69635","37410","47020","47423","48072","47165","47381","48727","45911"
"20231","R","전통시장","3130098","회기시장","410814","179090","231723","52194","195685","46572","35084","33812","47467","65718","80102","63283","65557","87504","48649","58519","59530","59544","60025","60094","57025","56079"
"20231","R","전통시장","3130097","답십리 건축자재시장","777657","352824","424834","101706","103854","135535","134825","112810","188928","211513","161893","87892","85050","126020","105291","110445","108915","110766","110907","110029","112733","113860"
"20231","R","전통시장","3130096","동부시장","45014","21648","23365","3893","7258","7855","7210","7275","11524","6563","9648","7305","7348","9310","4839","6497","6574","6599","6680","6833","6128","5703"
"20231","R","전통시장","3130095","청량리전통시장","398940","211038","187902","17609","44831","44757","55847","73466","162429","54546","82486","75923","79219","72646","34121","57179","58187","57910","58714","59881","58649","48419"
"20231","R","전통시장","3130094","청량리청과물시장","137112","72212","64901","5278","14725","15291","18473","25631","57715","18455","29136","26379","27277","24242","11623","19878","20253","20117","20432","20734","19803","15897"
"20231","R","전통시장","3130093","동서시장","56783","29190","27593","2203","5054","5852","7735","10677","25262","8169","12274","11073","11312","9285","4669","8247","8369","8341","8510","8554","8125","6638"
"20231","R","전통시장","3130092","청량리농수산물시장","414832","213989","200842","17568","39439","43437","56839","77418","180128","60951","88647","79721","81629","68541","35341","59589","60564","60867","61977","62246","60220","49369"
