"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","전체_점포_수","일반_점포_수","프랜차이즈_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수"
"20261","11680","강남구","CS200004","컴퓨터학원","62.0","61.0","1.0","0.0","0.0","0.0","0.0"
"20261","11680","강남구","CS200003","예술학원","982.0","953.0","29.0","1.9","19.0","3.2","31.0"
"20261","11680","강남구","CS200002","외국어학원","425.0","418.0","7.0","3.5","15.0","1.9","8.0"
"20261","11680","강남구","CS200001","일반교습학원","3323.0","3176.0","147.0","2.0","68.0","2.8","94.0"
"20261","11680","강남구","CS100010","커피-음료","2561.0","1911.0","650.0","2.7","68.0","3.3","84.0"
"20261","11680","강남구","CS100009","호프-간이주점","1120.0","982.0","138.0","2.0","22.0","4.9","55.0"
"20261","11680","강남구","CS100008","분식전문점","858.0","668.0","190.0","2.8","24.0","3.6","31.0"
"20261","11680","강남구","CS100007","치킨전문점","334.0","108.0","226.0","2.4","8.0","4.5","15.0"
"20261","11680","강남구","CS100006","패스트푸드점","583.0","313.0","270.0","1.0","6.0","3.3","19.0"
"20261","11680","강남구","CS100005","제과점","584.0","429.0","155.0","2.4","14.0","4.5","26.0"
"20261","11680","강남구","CS100004","양식음식점","1365.0","1241.0","124.0","3.0","41.0","3.4","46.0"
"20261","11680","강남구","CS100003","일식음식점","947.0","831.0","116.0","1.2","11.0","3.5","33.0"
"20261","11680","강남구","CS100002","중식음식점","475.0","404.0","71.0","3.4","16.0","4.8","23.0"
"20261","11680","강남구","CS100001","한식음식점","4938.0","4361.0","577.0","2.9","145.0","3.4","170.0"
"20261","11650","서초구","CS300043","전자상거래업","1059.0","1058.0","1.0","0.0","0.0","5.8","61.0"
"20261","11650","서초구","CS300042","주유소","53.0","53.0","0.0","0.0","0.0","3.8","2.0"
"20261","11650","서초구","CS300041","예술품","172.0","172.0","0.0","2.9","5.0","2.9","5.0"
"20261","11650","서초구","CS300040","재생용품 판매점","65.0","65.0","0.0","0.0","0.0","1.5","1.0"
"20261","11650","서초구","CS300039","모터사이클및부품","25.0","25.0","0.0","0.0","0.0","0.0","0.0"
"20261","11650","서초구","CS300038","자동차부품","212.0","211.0","1.0","0.0","0.0","1.4","3.0"
"20261","11650","서초구","CS300037","중고차판매","106.0","106.0","0.0","0.0","0.0","1.9","2.0"
"20261","11650","서초구","CS300036","조명용품","551.0","551.0","0.0","0.0","0.0","1.3","7.0"
"20261","11650","서초구","CS300035","인테리어","190.0","190.0","0.0","2.6","5.0","2.6","5.0"
"20261","11650","서초구","CS300034","악기","172.0","172.0","0.0","0.0","0.0","0.0","0.0"
"20261","11650","서초구","CS300033","철물점","82.0","82.0","0.0","2.4","2.0","1.2","1.0"
"20261","11650","서초구","CS300032","가전제품","149.0","149.0","0.0","0.7","1.0","1.3","2.0"
