"기준_년분기_코드","자치구_코드","자치구_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20242","11110","종로구","138891","67075","71816","15634","21297","19193","19134","23857","39776","7753","10096","9591","9264","11824","18547","7881","11201","9602","9870","12033","21229","71657","0","71657"
"20241","11740","강동구","456800","223326","233474","69331","56158","68197","74019","70448","118647","36326","27099","33674","36909","34589","54729","33005","29059","34523","37110","35859","63918","202602","0","202602"
"20241","11710","송파구","653369","313941","339428","100673","84498","104592","106320","100921","156365","51621","39769","49938","51561","48580","72472","49052","44729","54654","54759","52341","83893","285415","0","285415"
"20241","11680","강남구","539297","257811","281486","93714","66957","78117","97922","84814","117773","48726","31547","36534","44924","42299","53781","44988","35410","41583","52998","42515","63992","237639","0","237639"
"20241","11650","서초구","406675","193785","212890","72508","49782","56784","72078","65066","90457","36889","23743","26281","33344","32181","41347","35619","26039","30503","38734","32885","49110","169277","0","169277"
"20241","11620","관악구","479790","241652","238138","41418","106527","87960","61487","65636","116762","21139","51742","49211","32996","33572","52992","20279","54785","38749","28491","32064","63770","283003","0","283003"
"20241","11590","동작구","377821","182627","195194","45924","63465","59696","54423","57169","97144","23461","30645","30332","27225","27718","43246","22463","32820","29364","27198","29451","53898","186078","0","186078"
"20241","11560","영등포구","373300","183040","190260","45114","56437","70341","53851","55282","92275","23157","25682","35590","27727","27916","42968","21957","30755","34751","26124","27366","49307","189447","0","189447"
"20241","11545","금천구","226388","113895","112493","22766","34593","37592","29458","37422","64557","11553","16714","20668","15766","18793","30401","11213","17879","16924","13692","18629","34156","119576","0","119576"
"20241","11530","구로구","391809","192021","199788","50630","50733","60910","58333","61848","109355","25876","24487","31014","29793","30639","50212","24754","26246","29896","28540","31209","59143","183638","0","183638"
