"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","R","전통시장","3130285","서원동상점가","174619872","31559976","22539489","14712607","17105169","26404610","8416521","5644712","40479699","7757089"
"20261","R","전통시장","3130284","관악종합시장(신원시장)","","","","","","","","","",""
"20261","R","전통시장","3130283","신원시장","152330813","46016520","18151222","11780143","21310872","22579884","5088322","5358338","15612067","6433445"
"20261","R","전통시장","3130282","난곡 골목형상점가","110314654","35460223","12331406","7343393","17256309","14942356","3247093","3642039","11883474","4208361"
"20261","R","전통시장","3130281","우림시장","21280830","6476236","2428766","1472787","3148901","3023036","665422","711395","2542141","812146"
"20261","R","전통시장","3130280","신림종합시장","","","","","","","","","",""
"20261","R","전통시장","3130279","관악신사시장","999680846","265982709","122570748","76033894","125273548","165481570","35130092","32554100","132618252","44035933"
"20261","R","전통시장","3130278","미성동 도깨비시장 골목형상점가","345132481","101590395","40535148","24201412","50634313","50309118","12899547","10589589","40911914","13461045"
"20261","R","전통시장","3130277","조원동 펭귄시장(신림중앙시장)","647453018","170715463","80773893","50148386","82118061","109951878","25077694","20950589","79096301","28620753"
"20261","R","전통시장","3130276","신림중앙시장(조원동 펭귄시장)","40253819","9455632","5233246","3286956","4498638","7377658","1893712","1264961","5466028","1776988"
"20261","R","전통시장","3130275","강남골목시장","362211089","95561195","44687488","28152762","44009844","61425073","12640311","12040298","47378309","16315809"
"20261","R","전통시장","3130274","사당1동먹자골목상점가(사당1동먹자골목)","340545402","94806469","42985269","25869193","45088404","49136592","11487720","12508332","42544579","16118844"
"20261","R","전통시장","3130273","남성사계시장(남성시장)","264370445","80194269","31226259","20110522","37899872","39057960","8600259","9041318","27112886","11127100"
"20261","R","전통시장","3130272","사당시장","6333048","1187226","743174","641442","637706","1188268","325073","167225","1203410","239524"
"20261","R","전통시장","3130271","남성역골목시장","246606550","69958954","28640371","17441022","32927173","37293662","7703703","7967204","34672287","10002174"
"20261","R","전통시장","3130270","흑석시장","22077074","7665495","2401237","1694839","3767432","2613419","613822","799795","1741428","779607"
"20261","R","전통시장","3130269","강남시장(동작구 강남시장)","124737392","24777481","15639102","11344090","12580533","22405739","6890320","3466347","22776789","4856991"
"20261","R","전통시장","3130268","상도전통시장","792921574","201218607","98592152","66272530","95928192","132366212","33658772","25686357","105414317","33784435"
"20261","R","전통시장","3130267","본동인정시장(기능상실)","221441992","53865827","28386327","15933310","27146487","33865973","9585753","7210692","35638093","9809530"
"20261","R","전통시장","3130266","만양로상점가","48545757","11961558","6518762","3007717","6294767","5494712","1642228","1980254","9142081","2503678"
