"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20222","11320","도봉구","CS300010","반찬가게","8454227234","317923","6604707634","1849519600","1242682672","2510401674","703300107","1145001385","1003321796","1602539275","246980325","684032","2145237588","1598041489","2783699438","1886111460","40453227","3127664558","5224261649","9767226","171233973","452381585","780031191","2256881233","4681630993","248305","69618","53754","50969","41153","51586","50843","48936","20682","54","33621","68568","79607","132976","3097","142361","174191","1029","14899","35363","55916","101176","108163"
"20222","11320","도봉구","CS300009","청과상","5397301437","344424","3867790211","1529511226","682887992","927298492","660255203","762880116","834468408","1082338021","447173205","22097895","1000948752","1148903807","1418150844","1710260643","96939496","1816485587","3448821699","2402521","132548039","303255428","767926088","1526029565","2533145647","250106","94318","47568","51095","48239","47843","55361","60186","34132","278","30390","74625","98286","132191","8654","123769","219322","445","11456","25969","53131","107346","144749"
"20222","11320","도봉구","CS300008","수산물판매","3788807015","226931","2530849910","1257957105","488658796","489266720","559781126","451429586","541713682","690895783","567061322","0","405997656","1080529469","1264185783","1003188067","34906040","1334378561","2410099123","1485010","69955157","239869606","619139554","1049230784","1764797571","155056","71875","30953","31161","32512","26825","33605","39408","32467","0","21136","60932","75571","66916","2376","81984","144183","95","5208","16024","36426","62159","106257"
"20222","11320","도봉구","CS300007","육류판매","14432638462","481738","10115798116","4316840346","1631901292","2184487216","1769031654","1684912281","2845465673","2557657154","1759183192","1288875","1337613771","3557942152","4265088731","5108209846","162495087","6307748257","7884995773","6814592","376747939","1132067155","2827847064","3930031395","5919235888","330000","151738","62384","62764","63481","65559","75812","84668","67070","68","44886","94482","135167","200579","6556","190509","289805","403","17602","44036","84098","149993","184176"
"20222","11320","도봉구","CS300006","미곡판매","1474317823","27868","1223768919","250548904","362703256","191477928","115775554","170614270","383197911","195872252","54676652","0","277551649","247241516","451564274","496890321","1070063","540846269","644219891","0","8472642","25720595","218541553","250654127","681677244","20957","6911","4427","3982","3402","3901","5245","4612","2299","0","4355","6065","8818","8567","63","10652","14658","0","279","1154","3327","5900","14653"
"20222","11320","도봉구","CS300004","핸드폰","908477934","14638","897544529","10933405","197960818","29957062","415255142","224927118","29444389","9849224","1084181","0","7111428","32097388","524708222","344560896","0","545511277","359300237","0","7758851","10466081","341240714","214124960","331220906","13459","1179","1645","2889","3736","2136","3053","962","217","0","1170","4524","3001","5943","0","9647","4728","0","946","1785","1488","6814","3342"
"20222","11320","도봉구","CS300003","컴퓨터및주변장치판매","234792072","3627","157846016","76946056","17259643","55421644","33753039","36416228","14995462","62725845","14220211","0","10626270","51703207","57794719","114667876","0","149594732","74416456","355054","31378414","68021136","48956338","36975732","38324514","3205","422","824","670","618","432","661","348","74","0","418","1402","1050","757","0","1735","1740","29","1053","429","618","969","375"
"20222","11320","도봉구","CS300002","편의점","24286171416","3615560","17062801540","7223369876","3390404764","3357819806","3363380326","3324499466","3626697178","3749360312","3474009564","2807362562","3858995956","2916320437","3302603302","6708060136","4692829023","15865101182","8254372292","384643689","4180832909","5934055546","5627077189","5091816569","2901047567","2546025","1069535","501044","509247","506658","497941","531135","551436","518099","379343","658681","468892","513460","937332","657852","2369266","1232776","106636","737412","862670","771107","713203","411015"
"20222","11320","도봉구","CS300001","슈퍼마켓","36707303191","3402563","25766328102","10940975089","5221476405","5171697725","5002938892","4844136768","5526078312","5747039105","5193935984","784315382","4242102746","6052312244","7712804807","13590761930","4325006082","19085680491","17207968082","227930883","2845895946","5335801535","7835844800","10030654943","10017520462","2398274","1004289","480354","484873","471738","460363","500946","516471","487818","105991","402642","504432","643273","1247921","498304","1918124","1471899","57430","423270","587088","722844","840193","759197"
"20222","11320","도봉구","CS200037","노래방","3350073566","51938","2045059355","1305014211","319949236","374106311","437961321","444052951","468989536","751749053","553265158","1386741739","41872126","2709355","27784180","532091976","1358874190","2818145555","502309360","5475657","247726917","479406031","908924876","1141937390","536984047","32074","19864","5539","5805","6229","6591","7910","11404","8460","14179","198","687","1788","11953","23133","35796","15889","1113","12483","11567","10159","10487","5877"
