"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20261","A","골목상권","3111060","암사역 2번(서울강동초등학교)","31185","15365","15820","3378","4028","5152","4553","4968","9106","1709","1974","2694","2375","2400","4213","1669","2054","2458","2178","2568","4893","15540","0","15540"
"20261","A","골목상권","3111059","강동역 4번(강풀만화거리)","38432","18466","19966","3698","5927","6985","5577","5876","10369","1931","2537","3476","2808","2866","4848","1767","3390","3509","2769","3010","5521","20014","0","20014"
"20261","A","골목상권","3111058","성내중학교","14371","7028","7343","1623","2002","2208","2164","2320","4054","861","987","1142","1068","1133","1837","762","1015","1066","1096","1187","2217","6861","0","6861"
"20261","A","골목상권","3111057","천호공원(해공체육문화센터)","14691","7447","7244","1454","1849","2192","2006","2462","4728","740","952","1183","1098","1233","2241","714","897","1009","908","1229","2487","7591","0","7591"
"20261","A","골목상권","3111056","천호태영아파트","10915","5085","5830","863","2136","2294","1517","1595","2510","440","796","1111","763","782","1193","423","1340","1183","754","813","1317","6323","0","6323"
"20261","A","골목상권","3111055","선사초등학교","5902","2888","3014","823","682","852","951","899","1695","436","347","413","479","429","784","387","335","439","472","470","911","2521","0","2521"
"20261","A","골목상권","3111054","암사역 4번(삼성광나루아파트)","11646","5679","5967","1616","1332","1985","1796","1758","3159","844","665","995","910","832","1433","772","667","990","886","926","1726","5073","0","5073"
"20261","A","골목상권","3111053","성내천어린이공원(하니사랑길)","14170","6801","7369","2111","1822","2158","2264","2245","3570","1128","936","1008","1074","1051","1604","983","886","1150","1190","1194","1966","5765","0","5765"
"20261","A","골목상권","3111052","암사역 3번(천호동자전거거리)","21141","10260","10881","2676","2670","3853","3328","3208","5406","1399","1245","1927","1675","1551","2463","1277","1425","1926","1653","1657","2943","9730","0","9730"
"20261","A","골목상권","3111051","천호역 6번","22444","10793","11651","2225","3499","3915","3019","3306","6480","1135","1483","1996","1554","1665","2960","1090","2016","1919","1465","1641","3520","12050","0","12050"
"20261","A","골목상권","3111050","강동구청(강동구청역 2번)","8831","4215","4616","1278","1086","1380","1415","1324","2348","643","504","670","675","644","1079","635","582","710","740","680","1269","3896","0","3896"
"20261","A","골목상권","3111049","천호지구대(천호동자전거거리)","14884","7217","7667","1339","2142","3022","2179","2317","3885","678","906","1520","1121","1165","1827","661","1236","1502","1058","1152","2058","8163","0","8163"
"20261","A","골목상권","3111048","천호역 1번(천호문구완구거리)","9448","4572","4876","733","1375","1847","1222","1496","2775","397","589","952","618","738","1278","336","786","895","604","758","1497","5295","0","5295"
"20261","A","골목상권","3111047","마천1치안센터","15753","8011","7742","1874","1763","1695","2079","2948","5394","975","913","913","1079","1542","2589","899","850","782","1000","1406","2805","7244","0","7244"
"20261","A","골목상권","3111046","마천역(마천초등학교)","29437","14996","14441","3720","3136","3737","4171","5242","9431","1859","1660","2004","2214","2739","4520","1861","1476","1733","1957","2503","4911","13692","0","13692"
"20261","A","골목상권","3111045","개미어린이공원","10476","5226","5250","1245","1205","1145","1477","1992","3412","620","628","621","758","1001","1598","625","577","524","719","991","1814","4807","0","4807"
"20261","A","골목상권","3111044","남천초등학교","18537","9342","9195","2457","2009","2428","2697","3195","5751","1232","1084","1288","1415","1640","2683","1225","925","1140","1282","1555","3068","8407","0","8407"
"20261","A","골목상권","3111043","마천공원","9964","4982","4982","975","1238","1265","1331","1863","3292","519","660","678","718","872","1535","456","578","587","613","991","1757","4523","0","4523"
"20261","A","골목상권","3111042","거여역 1번(거여공원)","23334","11633","11701","3180","2796","3424","3509","3966","6459","1651","1436","1769","1807","1970","3000","1529","1360","1655","1702","1996","3459","10282","0","10282"
"20261","A","골목상권","3111041","거여역 8번","6053","2987","3066","718","843","839","797","1085","1771","369","420","432","406","544","816","349","423","407","391","541","955","2708","0","2708"
