"기준_년분기_코드","행정동_코드","행정동_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20261","11680690","개포4동","3448997000","792530000","48912000","155840000","770886000","109718000","166161000","26806000","291752000","344368000","742024000"
"20261","11680670","개포2동","2259042000","661212000","43719000","239000","483430000","13546000","234407000","29704000","148785000","128399000","515601000"
"20261","11680660","개포1동","348966000","69629000","12145000","770000","226489000","0","18875000","0","2015000","3675000","15368000"
"20261","11680656","도곡2동","75339311000","1145431000","148097000","87350000","953650000","260201000","392388000","61687000","69261319000","499514000","2529674000"
"20261","11680655","도곡1동","35870044000","896760000","21323000","61778000","12126124000","647411000","335734000","50172000","19882371000","294461000","1553910000"
"20261","11680650","역삼2동","674797107000","1794446000","136319000","160325000","4726815000","463048000","723500000","135061000","161990713000","501438736000","3228144000"
"20261","11680640","역삼1동","1317148637000","6627245000","2731456000","818875000","36489274000","444505000","4384781000","2310688000","1062723915000","181768619000","18849279000"
"20261","11680630","대치4동","189543190000","1940441000","220130000","168331000","3122398000","268380000","6358819000","447511000","886810000","171390937000","4739433000"
"20261","11680610","대치2동","23619271000","1857855000","6470173000","297281000","4037415000","559207000","4497624000","153594000","1367999000","1061057000","3317066000"
"20261","11680600","대치1동","8617225000","1079682000","24946000","460000","2268594000","14811000","3210822000","16060000","436251000","379365000","1186234000"
"20261","11680590","삼성2동","14320301000","2529632000","750179000","110058000","2485258000","96703000","4224576000","212368000","979004000","573374000","2359149000"
"20261","11680580","삼성1동","33245952000","1673043000","6985664000","486275000","4932281000","318918000","328327000","215353000","9521618000","4265990000","4518483000"
"20261","11680565","청담동","28424438000","1868501000","3027989000","404706000","10285470000","353039000","409149000","605088000","1497919000","4902593000","5069984000"
"20261","11680545","압구정동","39557398000","2154017000","2573031000","320560000","15946744000","275190000","2009906000","745703000","6342068000","2531117000","6659062000"
"20261","11680531","논현2동","24009051000","2972477000","853709000","1171504000","7835997000","893015000","433053000","716378000","2423523000","1822140000","4887255000"
"20261","11680521","논현1동","42808193000","2088012000","414287000","563688000","20274523000","157545000","1774659000","775069000","9824680000","1360464000","5575266000"
"20261","11680510","신사동","37832136000","1737222000","1535242000","168042000","19928676000","525599000","843062000","534750000","5858781000","1267204000","5433558000"
"20261","11650660","내곡동","2786808000","612440000","19881000","47585000","280106000","569351000","136122000","10654000","350348000","79347000","680974000"
"20261","11650652","양재2동","9505635000","2261137000","219776000","113695000","1274831000","737665000","538289000","140803000","774642000","244648000","3200149000"
"20261","11650651","양재1동","10094480000","1688643000","224553000","107708000","2235671000","549194000","610600000","255215000","666195000","733096000","3023605000"
"20261","11650621","방배4동","6396778000","835939000","132636000","37944000","1995582000","123350000","622493000","67257000","501404000","398171000","1682002000"
"20261","11650620","방배3동","4118577000","412527000","24844000","41992000","2701007000","122375000","160170000","2237000","142777000","127353000","383295000"
"20261","11650610","방배2동","90599999000","1186413000","58995000","49096000","929416000","289839000","509258000","295864000","81911854000","301204000","5068060000"
"20261","11650600","방배1동","6573022000","1944166000","73028000","132360000","1658761000","17645000","411740000","96031000","382225000","445321000","1411745000"
"20261","11650590","방배본동","19950542000","815287000","109892000","74276000","823804000","686172000","509273000","31819000","319252000","15466411000","1114356000"
"20261","11650581","반포4동","29986960000","2161395000","1113884000","147338000","13688871000","888205000","2623237000","107798000","1560581000","1593741000","6101910000"
"20261","11650580","반포3동","5149394000","389848000","510424000","114679000","1084866000","23679000","995982000","43662000","759110000","112102000","1115042000"
"20261","11650570","반포2동","1643813000","330089000","4610000","0","268583000","12499000","241333000","0","62251000","139601000","584847000"
"20261","11650560","반포1동","8688685000","995097000","37773000","67275000","4382170000","442138000","468147000","91487000","642751000","336599000","1225248000"
"20261","11650550","반포본동","461248000","36159000","52854000","150000","18487000","8227000","195375000","0","59037000","6752000","84207000"
"20261","11650540","잠원동","9728607000","658077000","126113000","99243000","5098145000","109745000","695452000","375516000","413552000","345888000","1806876000"
"20261","11650531","서초4동","36087650000","1621786000","1331798000","111618000","22393681000","294591000","1137693000","1287363000","1459009000","829066000","5621045000"
"20261","11650530","서초3동","233787872000","2014832000","218965000","3245636000","4904909000","493638000","704036000","405773000","214580236000","639889000","6579958000"
"20261","11650520","서초2동","167403994000","1300709000","19617000","260012000","5483874000","112918000","973227000","197933000","1577733000","153581258000","3896713000"
"20261","11650510","서초1동","9712995000","1410980000","362345000","191853000","2353499000","488325000","521495000","136947000","1470085000","468474000","2308992000"
"20261","11620775","난곡동","2714529000","1234164000","22224000","13727000","703029000","35195000","136176000","8831000","74169000","72476000","414538000"
"20261","11620765","미성동","3614892000","1003677000","212305000","57325000","412874000","313328000","226625000","103553000","191546000","307930000","785729000"
"20261","11620745","삼성동","1829236000","1177457000","29140000","8216000","198096000","5046000","15923000","11698000","123567000","59458000","200635000"
"20261","11620735","대학동","6570523000","2881397000","41370000","10152000","718769000","23396000","197840000","159379000","348360000","205481000","1984379000"
"20261","11620725","조원동","6761216000","1866972000","70992000","62220000","1519662000","79179000","76599000","492251000","388230000","441851000","1763260000"
"20261","11620715","난향동","675878000","354294000","4576000","1857000","37881000","0","71517000","16021000","58750000","17773000","113209000"
"20261","11620695","신림동","8700356000","1592602000","130001000","20583000","2192780000","73416000","42971000","690792000","756794000","426192000","2774225000"
"20261","11620685","신사동","3621353000","1425544000","79037000","87858000","569828000","91114000","69750000","187418000","184459000","126786000","799559000"
"20261","11620665","서림동","2218864000","751407000","26019000","10496000","99535000","278788000","357778000","11438000","103470000","31265000","548668000"
"20261","11620655","신원동","2091464000","988518000","34337000","18873000","138474000","51210000","27725000","53614000","95179000","53510000","630024000"
"20261","11620645","서원동","12595633000","1548914000","707475000","62876000","3688859000","73716000","228034000","782241000","1115728000","417699000","3970091000"
"20261","11620630","남현동","5370977000","1136338000","41472000","44810000","465802000","593137000","84703000","293655000","481914000","260504000","1968642000"
"20261","11620625","인헌동","4103869000","1209651000","50190000","8424000","620980000","554589000","127497000","81656000","170753000","154570000","1125559000"
"20261","11620615","중앙동","5411293000","1637091000","95874000","27481000","1199176000","24367000","489187000","79347000","242773000","233374000","1382623000"
"20261","11620605","은천동","6377190000","2509014000","90672000","439171000","560242000","351347000","290420000","97265000","190042000","202591000","1646426000"
"20261","11620595","청룡동","8593136000","1702712000","232940000","401991000","1871615000","13577000","332114000","206243000","1237721000","515783000","2078440000"
"20261","11620585","낙성대동","8907094000","793626000","117308000","5006000","1814472000","272324000","90293000","397406000","564366000","355515000","4496778000"
"20261","11620575","행운동","6006533000","2009708000","160344000","49445000","1276584000","31597000","287517000","185078000","311893000","201045000","1493322000"
"20261","11620565","성현동","1434949000","516196000","23629000","30538000","126294000","70087000","334073000","10631000","149482000","30613000","143406000"
"20261","11620545","청림동","1249284000","776242000","6171000","2211000","72906000","0","148453000","17201000","93667000","28152000","104281000"
"20261","11620525","보라매동","13123969000","1174071000","40364000","22352000","582645000","275566000","9776269000","79847000","199796000","101563000","871496000"
"20261","11590680","신대방2동","90116158000","1638787000","20242000","990639000","5323791000","78583796000","174731000","81187000","272134000","966869000","2063982000"
"20261","11590670","신대방1동","3481662000","1223091000","58170000","49691000","168903000","417858000","195003000","43890000","243133000","122115000","959808000"
"20261","11590660","대방동","6668015000","1661645000","102011000","21255000","1250279000","486808000","684263000","122759000","706491000","262095000","1370409000"
"20261","11590651","사당5동","883184000","285035000","15690000","15351000","63782000","8976000","82634000","25915000","48040000","37506000","300255000"
"20261","11590650","사당4동","2482298000","1503680000","43901000","21673000","211090000","6971000","114334000","13916000","78006000","136034000","352693000"
"20261","11590640","사당3동","2807047000","951464000","69244000","58532000","370819000","13035000","223698000","34413000","188543000","122932000","774367000"
"20261","11590630","사당2동","9064320000","3035099000","165724000","42246000","1348501000","56904000","335315000","345167000","470709000","377860000","2886795000"
"20261","11590620","사당1동","9291290000","1654047000","146883000","120273000","1778857000","305942000","177817000","247897000","568335000","164119000","4127120000"
"20261","11590605","흑석동","10972828000","1473506000","49479000","42547000","6214411000","322171000","327120000","123813000","289192000","205496000","1925093000"
"20261","11590560","상도4동","2119769000","866176000","32744000","18766000","231553000","13297000","130876000","53422000","110478000","49355000","613102000"
"20261","11590550","상도3동","4845326000","2742770000","140290000","30442000","453554000","100321000","82049000","43423000","253401000","136208000","862868000"
"20261","11590540","상도2동","4574342000","1312684000","110658000","23035000","1037177000","94893000","448124000","80595000","295755000","172251000","999170000"
"20261","11590530","상도1동","7642759000","2169881000","52117000","45417000","1085589000","499795000","525214000","187649000","474725000","371219000","2231153000"
"20261","11590520","노량진2동","6716453000","3687671000","23668000","54450000","542346000","7412000","415135000","148534000","88370000","152165000","1596702000"
"20261","11590510","노량진1동","6780215000","1996102000","60743000","68607000","487469000","20551000","915979000","255388000","556191000","248151000","2171034000"
"20261","11560720","대림3동","7002993000","965893000","43507000","126971000","2008111000","1312726000","119320000","228757000","293953000","158449000","1745306000"
"20261","11560710","대림2동","4716839000","1426057000","160728000","205367000","675005000","14937000","22738000","158869000","161099000","257587000","1634452000"
"20261","11560700","대림1동","5167875000","1982991000","42127000","155093000","2021053000","10341000","61707000","29739000","125256000","75470000","664098000"
"20261","11560690","신길7동","2131328000","898408000","8216000","12080000","213748000","257768000","173763000","9354000","63911000","101902000","392178000"
"20261","11560680","신길6동","4620390000","1027437000","54608000","55190000","1104877000","384791000","391206000","76097000","237311000","138264000","1150609000"
"20261","11560670","신길5동","1773948000","183582000","26350000","73276000","247488000","609808000","93352000","9321000","40520000","100487000","389764000"
"20261","11560660","신길4동","994326000","410649000","11942000","7408000","216852000","1967000","60627000","20919000","29798000","55902000","178262000"
"20261","11560650","신길3동","3449377000","1033766000","63878000","145284000","711334000","354164000","187153000","48719000","140032000","72437000","692610000"
"20261","11560630","신길1동","3940347000","1067934000","49423000","41333000","1306551000","230146000","129573000","58983000","178585000","85101000","792718000"
"20261","11560620","양평2동","12965817000","1283078000","69299000","170521000","656497000","750463000","196764000","100529000","7677226000","147268000","1914172000"
