기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,남성_비중,여성_비중,10대_매출비중,20대_매출비중,30대_매출비중,40대_매출비중,50대_매출비중,60_이상대_매출비중,20_30대_매출비중,평일_매출비중,주말_매출비중,총_유동인구_수,10대_유동비중,20대_유동비중,30대_유동비중,40대_유동비중,50대_유동비중,60_이상대_유동비중,남성_유동비중,여성_유동비중,20_30대_유동비중,10대_직장인비중,20대_직장인비중,30대_직장인비중,40대_직장인비중,50대_직장인비중,60_이상대_직장인비중,남성_직장비중,여성_직장비중,20_30대_직장인비중,직장인1인당_카페이용건수,주간인구지수,직장인_비중(직장+상주_대비)
20261,11740,강동구,CS100010,커피-음료,16474020859,2317323,11123997662,5350023197,2000787939,2283993501,2108791173,2261792373,2468632676,2772444871,2577578326,90190472,2981354233,5623361984,4094486827,3006331919,678295424,7274221839,8151131423,113940539,1922080685,4224963841,3722816139,3078074124,2363477960,1601585,715738,304516,322686,302549,321118,350716,369940,345798,13704,526026,743190,576066,397537,60800,1128249,1133943,21369,311818,627865,534655,445851,320669,44.2,49.5,0.7,11.7,25.6,22.6,18.7,14.3,37.3,67.5,32.5,106404596,16.8,11.6,15.5,17.0,15.0,24.1,46.5,53.5,27.1,0.0,12.4,21.5,23.4,23.6,19.1,58.8,41.2,33.9,44.95,11.3,10.1
20261,11710,송파구,CS100010,커피-음료,41641687029,5391065,28775983714,12865703315,5219640684,5766042642,5316816399,6038743881,6434740108,7176704099,5688999216,138346701,6513233136,14461680610,10954711367,8150850493,1422864722,17485306863,20152738134,304949860,5241844589,10853935677,9114599515,6910736915,5211978436,3844360,1546705,729479,767124,715291,788933,843533,857282,689423,22052,1145073,1778927,1374512,927379,143122,2493184,2588317,49102,714911,1497246,1244576,929571,646077,42.0,48.4,0.7,12.6,26.1,21.9,16.6,12.5,38.7,69.1,30.9,119374865,17.3,12.5,17.1,17.3,14.6,21.2,46.6,53.4,29.6,0.1,14.6,25.6,26.6,22.4,10.6,62.5,37.5,40.2,13.15,62.7,38.5
20261,11680,강남구,CS100010,커피-음료,106034950002,11888410,82273426035,23761523967,14448971045,16219881531,15714894956,17301071297,18588607206,13364262686,10397261281,1797138907,16868864864,41523456225,23692613434,18413894179,3738982393,40293125019,45144785991,908206101,14585919232,28508996511,19281320937,14261566527,7891901688,9533857,2354553,1743284,1915985,1798870,1984135,2091583,1337363,1017190,106349,2862562,4399322,2460216,1770045,289916,5124729,5435266,163305,1770125,3569320,2376383,1801922,878965,38.0,42.6,0.9,13.8,26.9,18.2,13.4,7.4,40.7,77.6,22.4,145387600,17.0,14.6,19.2,20.8,14.0,14.4,48.3,51.7,33.8,0.2,19.9,30.5,25.5,16.7,7.2,61.3,38.7,50.4,11.01,200.2,66.7
20261,11650,서초구,CS100010,커피-음료,52797433809,6236506,41203511985,11593921824,7359900492,8104878973,7849223235,8549788140,9339721145,6630387844,4963533980,281766769,8925791620,21618119227,11551817380,8647849358,1772089455,20444862372,22655220578,234713272,5872055916,12479290591,9967244705,8313044980,6233733551,4956418,1280088,920014,999302,936158,1021232,1079712,730689,549399,12135,1535403,2393244,1320648,847129,127947,2741370,2777525,40488,816606,1688937,1294358,1021155,657322,38.7,42.9,0.4,11.1,23.6,18.9,15.7,11.8,34.7,78.0,22.0,99034836,17.3,13.5,17.3,19.8,15.1,17.0,47.8,52.2,30.8,0.1,17.9,28.2,25.4,20.9,7.6,64.6,35.4,46.099999999999994,14.36,106.8,51.6
20261,11620,관악구,CS100010,커피-음료,14309054414,2080153,8993971121,5315083293,1667159232,1697655660,1850130855,1806216665,1972808709,2644003966,2671079327,182808775,1400615394,3670957093,3764513239,3937445909,1352714004,6515324193,7323675005,107447663,3042618820,4296381324,2255521068,2418048701,1718785095,1381221,698932,266505,274174,260027,279731,300784,373245,325687,21615,321572,560109,542098,507445,127314,1040450,1007172,17470,469986,695593,344545,301331,218644,45.5,51.2,0.8,21.3,30.0,15.8,16.9,12.0,51.3,62.9,37.1,126852940,10.2,23.8,19.9,14.4,12.8,18.9,49.2,50.8,43.7,0.0,14.1,25.4,24.8,22.4,13.3,57.3,42.7,39.5,49.53,8.8,8.0
20261,11590,동작구,CS100010,커피-음료,15274759511,2366665,10882706389,4392053122,1986346561,2190565461,2073992346,2242114391,2389687630,2469446121,1922607001,52129867,2267347228,4982477812,3913505534,3385406076,673892994,6464179043,7835883293,126891550,3303475399,3884500783,2478731505,2677577433,1828885659,1724958,641707,330296,353452,324129,351443,365638,358074,283633,5797,498339,754059,584460,450603,73407,1096432,1210156,20666,545409,644715,388237,446420,261167,42.3,51.3,0.8,21.6,25.4,16.2,17.5,12.0,47.0,71.2,28.8,79482451,14.5,18.5,16.7,15.2,14.1,21.0,47.0,53.0,35.2,0.0,15.6,25.1,23.8,21.8,13.5,60.1,39.9,40.7,52.46,11.9,10.7
20261,11560,영등포구,CS100010,커피-음료,45835393006,5038694,37178515366,8656877640,6737040929,7493302252,7042804678,7569865784,8335501723,4863454919,3793422721,318117099,8971451975,18655913921,9030342786,7040400278,1819166947,16873294788,17258372334,100545898,5009331371,11509450093,7864379910,6108648833,3539311038,4128266,910428,760179,834817,781945,844452,906873,502123,408305,12240,1386124,1972988,958157,606689,102496,2279881,2168657,13328,646851,1523224,1041611,796188,427310,36.8,37.7,0.2,10.9,25.1,17.2,13.3,7.7,36.0,81.1,18.9,107551419,12.3,14.7,19.7,17.4,15.2,20.6,48.1,51.9,34.4,0.1,17.6,33.0,26.3,16.5,6.6,68.8,31.2,50.6,12.59,107.2,51.7
20261,11545,금천구,CS100010,커피-음료,15191690907,2435515,12889370029,2302320878,2343520212,2623932848,2406406321,2657138284,2858372364,1280905729,1021415149,28976007,3698070457,6376716840,3039089148,1815830151,233008304,6871979217,5930797150,37394802,1891658105,4509238665,2961459120,2188851855,1214173814,2104281,331234,394064,434383,397190,430898,447746,186541,144693,2695,841785,922279,431626,217147,19983,1256842,987764,5570,336759,821052,505472,382553,193195,45.2,39.0,0.2,12.5,29.7,19.5,14.4,8.0,42.2,84.8,15.2,34978174,11.7,14.0,18.2,16.3,16.2,23.6,49.5,50.5,32.2,0.2,17.7,28.4,24.0,16.4,13.2,65.1,34.9,46.099999999999994,18.51,58.1,36.8
20261,11530,구로구,CS100010,커피-음료,12591001308,1895675,9795989667,2795011641,1784881614,1963643810,1860636381,2002936208,2183891654,1569037423,1225974218,47061475,2405634638,4925239918,2771216158,2057464396,384384723,5518617744,5517521789,54212016,1676823135,3610986788,2417999958,1912492110,1363625498,1505909,389766,284388,304724,283177,308740,324880,217934,171832,1991,509857,693464,392901,256890,40572,926925,841190,9396,278506,604147,387874,299878,188317,43.8,43.8,0.4,13.3,28.7,19.2,15.2,10.8,42.0,77.8,22.2,79329375,14.5,12.3,16.6,17.0,16.3,23.3,47.9,52.1,28.900000000000002,0.2,16.9,29.1,25.3,18.1,10.5,63.7,36.3,46.0,15.51,31.2,23.8
20261,11500,강서구,CS100010,커피-음료,16802898652,2528292,11886397121,4916501531,2215601363,2419375328,2180027712,2417500478,2653892240,2633631194,2282870337,32625714,2676398157,6078666476,4084237862,3319044082,611926361,7097500032,8226966918,113548966,2236126275,4633748337,3475087406,2859109924,2006846049,1807564,720728,346825,360981,336635,368471,394652,385467,335261,3097,540760,838082,608438,461291,76624,1179817,1238910,19436,350750,742290,555455,454513,296296,42.2,49.0,0.7,13.3,27.6,20.7,17.0,11.9,40.900000000000006,70.7,29.3,114205875,16.4,13.3,18.0,17.2,13.9,21.3,46.7,53.3,31.3,0.0,12.9,23.4,24.8,24.2,14.7,59.0,41.0,36.3,34.48,13.1,11.6
20261,11470,양천구,CS100010,커피-음료,10559638947,1811328,7225829567,3333809380,1339409344,1463992098,1312753894,1481081111,1628593120,1771907365,1561902015,89064669,1688868979,3532937537,2630579593,2139520781,478667388,4680984777,5347325691,211828405,1160195925,2255448641,2819112500,2335659835,1246065162,1253384,557944,238139,251344,231036,257548,275317,302225,255719,5419,365717,585566,448411,346356,59859,865806,903673,45012,198997,401324,497029,419309,207811,44.3,50.6,2.0,11.0,21.4,26.7,22.1,11.8,32.4,68.4,31.6,75372551,21.5,10.9,13.2,17.1,15.1,22.1,46.8,53.2,24.1,0.1,15.4,25.1,24.9,21.8,12.7,60.6,39.4,40.5,21.14,19.7,16.4
20261,11440,마포구,CS100010,커피-음료,57135302880,6255754,37920716069,19214586811,6847708686,7144251452,7024787999,8016063514,8887904418,10665382004,8549204807,644283941,5690595668,17722445642,16479134589,13633189763,2965653277,19951893418,31342263245,926058827,16616942895,15966158616,8008188479,6592178180,3184629666,4431156,1824598,823381,873942,832660,908976,992197,1017670,806928,24686,1092641,2008143,1695041,1241559,193684,2480044,3395213,93261,1723614,1870631,959197,828370,400209,34.9,54.9,1.6,29.1,27.9,14.0,11.5,5.6,57.0,66.4,33.6,111700178,14.4,19.6,19.0,17.3,13.6,16.1,45.2,54.8,38.6,0.0,19.2,27.5,24.6,18.3,10.4,57.8,42.2,46.7,51.98,33.2,24.9
20261,11410,서대문구,CS100010,커피-음료,18354016854,2232983,12842519744,5511497110,2432158090,2545979255,2409256893,2643429382,2811696124,3031603944,2479893166,163337196,2013082721,5814370262,5214898064,4276371641,871956970,6327685320,10880339204,217046963,5804697856,4373923051,2604908928,2746446797,1461000935,1636914,596069,317561,335189,308325,334005,341834,323657,272412,12789,381366,705000,594629,456317,82882,861806,1306263,28807,749069,536527,321152,351268,181240,34.5,59.3,1.2,31.6,23.8,14.2,15.0,8.0,55.400000000000006,70.0,30.0,100020368,13.5,18.6,16.9,17.3,15.0,18.7,45.1,54.9,35.5,0.0,11.6,21.7,24.7,28.6,13.5,58.1,41.9,33.3,62.26,11.7,10.5
20261,11380,은평구,CS100010,커피-음료,7875882753,1145793,5279804692,2596078061,988874017,1044241380,1016176226,1098229569,1132283500,1413129148,1182948913,35569326,1014271912,2367307737,2238200756,1822688934,397844088,3322028246,4137803734,70452145,1048954717,1755955431,1576762509,1593212784,1414494388,777934,367859,151124,154800,147202,159141,165667,198900,168959,4042,204677,344413,309013,239429,44219,517319,614460,12233,160913,280278,236102,250827,191423,42.2,52.5,0.9,13.3,22.3,20.0,20.2,18.0,35.6,67.0,33.0,94584761,16.1,12.6,15.1,16.3,15.8,24.1,45.0,55.0,27.7,0.0,10.3,21.2,26.0,25.4,17.1,52.7,47.3,31.5,36.79,6.7,6.3
20261,11350,노원구,CS100010,커피-음료,15415802889,2352294,10268427349,5147375540,1924128602,2102602398,1944078159,2043007686,2254610504,2797129385,2350246155,76450793,1927055227,4773828745,4212382770,3674976162,751109192,6440061124,8400790547,212685662,2992135012,3451399753,3102143883,3108353560,1974133806,1621515,730779,309590,333067,304482,327387,346989,398276,332503,4530,423033,718069,623160,503331,80171,1061140,1254950,37827,464607,525979,475888,496517,315251,41.8,54.5,1.4,19.4,22.4,20.1,20.2,12.8,41.8,66.6,33.4,91576369,18.0,14.0,12.3,15.0,15.8,24.9,46.2,53.8,26.3,0.0,11.4,19.5,24.6,26.7,17.9,53.7,46.3,30.9,83.68,5.6,5.3
20261,11320,도봉구,CS100010,커피-음료,6057752183,923161,4022835422,2034916761,743475079,850064988,729440667,828617332,871237356,1032149089,1002767672,13170923,858558359,2023675073,1654796869,1323458698,184092261,2628721427,3261930500,48137098,671510624,1252353960,1235213453,1404637537,1278799270,633263,289898,123851,130976,116158,127904,134374,147686,142212,2111,181349,293791,245432,175807,24671,434907,475026,9244,111024,199498,192118,211509,186544,43.4,53.8,0.8,11.1,20.7,20.4,23.2,21.1,31.799999999999997,66.4,33.6,61099850,15.4,12.0,12.9,14.9,16.3,28.5,46.4,53.6,24.9,0.0,9.8,19.6,25.5,27.4,17.8,59.6,40.4,29.400000000000002,45.9,6.6,6.2
