행정동_코드,행정동_코드_명,당월_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,아침_비중,점심_비중,저녁_비중,컨셉_적합도,분기초_매출,점포_수,자치구_코드,성장률,카페1개당_평균매출_억원
11440610,염리동,1224601404,174246565,497813709,230037765,14.2,40.7,18.8,73.7,1115462564,35,11440,9.8,0.35
11440630,신수동,916244872,159479570,353949009,125275077,17.4,38.6,13.7,69.7,865073642,46,11440,5.9,0.2
11440655,서강동,3705692401,226485045,980947171,1073928471,6.1,26.5,29.0,61.6,3575318396,104,11440,3.6,0.36
11440660,서교동,27768312903,1830653359,7033733715,7998227121,6.6,25.3,28.8,60.7,28096001924,621,11440,-1.2,0.45
11440680,합정동,4304822803,476603998,1294807505,1041028847,11.1,30.1,24.2,65.4,3923032747,146,11440,9.7,0.29
11440690,망원1동,1865049532,134513487,564877002,431201377,7.2,30.3,23.1,60.6,1525365813,147,11440,22.3,0.13
11440700,망원2동,549435596,53110272,161490620,119107952,9.7,29.4,21.7,60.8,570008322,67,11440,-3.6,0.08
11440710,연남동,4425208846,239037104,1077659385,1242602614,5.4,24.4,28.1,57.9,4337738476,293,11440,2.0,0.15
11440720,성산1동,816294015,119083445,328172027,91237941,14.6,40.2,11.2,66.0,696500242,67,11440,17.2,0.12
11440730,성산2동,1289178823,190280402,474298799,223026185,14.8,36.8,17.3,68.9,962105426,46,11440,34.0,0.28
11440740,상암동,6429190684,1429350120,2875918162,675391032,22.2,44.7,10.5,77.4,5817768578,143,11440,10.5,0.45
11470510,목1동,3463336066,622869899,1059272988,755136476,18.0,30.6,21.8,70.4,4086994580,65,11470,-15.3,0.53
11470520,목2동,342521924,42800447,76386009,68207100,12.5,22.3,19.9,54.7,357282204,31,11470,-4.1,0.11
11470530,목3동,510627501,82297045,159115368,117108465,16.1,31.2,22.9,70.2,454686371,31,11470,12.3,0.16
11470540,목4동,88397705,11483485,30224302,17255664,13.0,34.2,19.5,66.7,92030764,32,11470,-3.9,0.03
