기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,전체_점포_수,총_직장_인구_수,총_상주인구_수,카페1개당_평균매출,카페1개당_평균매출_억원,점심_매출비중,평일_매출비중,주간인구지수
20261,11740,강동구,CS100010,커피-음료,16474020859,2317323,11123997662,5350023197,2000787939,2283993501,2108791173,2261792373,2468632676,2772444871,2577578326,90190472,2981354233,5623361984,4094486827,3006331919,678295424,7274221839,8151131423,113940539,1922080685,4224963841,3722816139,3078074124,2363477960,1601585,715738,304516,322686,302549,321118,350716,369940,345798,13704,526026,743190,576066,397537,60800,1128249,1133943,21369,311818,627865,534655,445851,320669,931.0,51554,456800,17694974.0698174,0.18,34.1,67.5,11.3
20261,11710,송파구,CS100010,커피-음료,41641687029,5391065,28775983714,12865703315,5219640684,5766042642,5316816399,6038743881,6434740108,7176704099,5688999216,138346701,6513233136,14461680610,10954711367,8150850493,1422864722,17485306863,20152738134,304949860,5241844589,10853935677,9114599515,6910736915,5211978436,3844360,1546705,729479,767124,715291,788933,843533,857282,689423,22052,1145073,1778927,1374512,927379,143122,2493184,2588317,49102,714911,1497246,1244576,929571,646077,1613.0,409883,653369,25816296.98016119,0.26,34.7,69.1,62.7
20261,11680,강남구,CS100010,커피-음료,106034950002,11888410,82273426035,23761523967,14448971045,16219881531,15714894956,17301071297,18588607206,13364262686,10397261281,1797138907,16868864864,41523456225,23692613434,18413894179,3738982393,40293125019,45144785991,908206101,14585919232,28508996511,19281320937,14261566527,7891901688,9533857,2354553,1743284,1915985,1798870,1984135,2091583,1337363,1017190,106349,2862562,4399322,2460216,1770045,289916,5124729,5435266,163305,1770125,3569320,2376383,1801922,878965,2561.0,1079924,539297,41403729.01288559,0.41,39.2,77.6,200.2
20261,11650,서초구,CS100010,커피-음료,52797433809,6236506,41203511985,11593921824,7359900492,8104878973,7849223235,8549788140,9339721145,6630387844,4963533980,281766769,8925791620,21618119227,11551817380,8647849358,1772089455,20444862372,22655220578,234713272,5872055916,12479290591,9967244705,8313044980,6233733551,4956418,1280088,920014,999302,936158,1021232,1079712,730689,549399,12135,1535403,2393244,1320648,847129,127947,2741370,2777525,40488,816606,1688937,1294358,1021155,657322,1565.0,434315,406675,33736379.430670924,0.34,40.9,78.0,106.8
20261,11620,관악구,CS100010,커피-음료,14309054414,2080153,8993971121,5315083293,1667159232,1697655660,1850130855,1806216665,1972808709,2644003966,2671079327,182808775,1400615394,3670957093,3764513239,3937445909,1352714004,6515324193,7323675005,107447663,3042618820,4296381324,2255521068,2418048701,1718785095,1381221,698932,266505,274174,260027,279731,300784,373245,325687,21615,321572,560109,542098,507445,127314,1040450,1007172,17470,469986,695593,344545,301331,218644,915.0,41999,479790,15638310.834972678,0.16,25.7,62.9,8.8
20261,11590,동작구,CS100010,커피-음료,15274759511,2366665,10882706389,4392053122,1986346561,2190565461,2073992346,2242114391,2389687630,2469446121,1922607001,52129867,2267347228,4982477812,3913505534,3385406076,673892994,6464179043,7835883293,126891550,3303475399,3884500783,2478731505,2677577433,1828885659,1724958,641707,330296,353452,324129,351443,365638,358074,283633,5797,498339,754059,584460,450603,73407,1096432,1210156,20666,545409,644715,388237,446420,261167,719.0,45111,377821,21244449.945757996,0.21,32.6,71.2,11.9
20261,11560,영등포구,CS100010,커피-음료,45835393006,5038694,37178515366,8656877640,6737040929,7493302252,7042804678,7569865784,8335501723,4863454919,3793422721,318117099,8971451975,18655913921,9030342786,7040400278,1819166947,16873294788,17258372334,100545898,5009331371,11509450093,7864379910,6108648833,3539311038,4128266,910428,760179,834817,781945,844452,906873,502123,408305,12240,1386124,1972988,958157,606689,102496,2279881,2168657,13328,646851,1523224,1041611,796188,427310,1421.0,400232,373300,32255730.475721322,0.32,40.7,81.1,107.2
20261,11545,금천구,CS100010,커피-음료,15191690907,2435515,12889370029,2302320878,2343520212,2623932848,2406406321,2657138284,2858372364,1280905729,1021415149,28976007,3698070457,6376716840,3039089148,1815830151,233008304,6871979217,5930797150,37394802,1891658105,4509238665,2961459120,2188851855,1214173814,2104281,331234,394064,434383,397190,430898,447746,186541,144693,2695,841785,922279,431626,217147,19983,1256842,987764,5570,336759,821052,505472,382553,193195,667.0,131583,226388,22776148.28635682,0.23,42.0,84.8,58.1
20261,11530,구로구,CS100010,커피-음료,12591001308,1895675,9795989667,2795011641,1784881614,1963643810,1860636381,2002936208,2183891654,1569037423,1225974218,47061475,2405634638,4925239918,2771216158,2057464396,384384723,5518617744,5517521789,54212016,1676823135,3610986788,2417999958,1912492110,1363625498,1505909,389766,284388,304724,283177,308740,324880,217934,171832,1991,509857,693464,392901,256890,40572,926925,841190,9396,278506,604147,387874,299878,188317,750.0,122194,391809,16788001.744,0.17,39.1,77.8,31.2
20261,11500,강서구,CS100010,커피-음료,16802898652,2528292,11886397121,4916501531,2215601363,2419375328,2180027712,2417500478,2653892240,2633631194,2282870337,32625714,2676398157,6078666476,4084237862,3319044082,611926361,7097500032,8226966918,113548966,2236126275,4633748337,3475087406,2859109924,2006846049,1807564,720728,346825,360981,336635,368471,394652,385467,335261,3097,540760,838082,608438,461291,76624,1179817,1238910,19436,350750,742290,555455,454513,296296,1270.0,73335,560995,13230628.85984252,0.13,36.2,70.7,13.1
